order_item_id,order_id,product_id,quantity,line_total
1,1,439,1,3.66
2,2,384,2,23.74
3,3,566,2,26.72
4,4,228,1,6.84
5,5,255,2,8.8
6,6,383,1,2.4
7,7,585,3,72.27
8,8,268,1,4.81
9,9,585,3,72.27
10,10,374,2,104.84
11,11,291,1,16.31
12,12,4,2,184.22
13,13,68,1,54.79
14,14,27,3,19.05
15,15,483,2,8.06
16,16,380,2,17.9
17,17,53,1,10.21
18,18,279,2,43.08
19,19,361,3,101.28
20,20,75,3,4.38
21,21,7,1,97.44
22,22,129,1,22.19
23,23,235,2,342.78
24,24,81,3,48.36
25,25,521,2,7.56
26,26,324,3,488.34
27,27,64,3,18.21
28,28,93,1,9.95
29,29,169,2,31.42
30,30,305,3,59.01
31,31,289,1,26.6
32,32,20,3,14.67
33,33,39,1,5.32
34,34,360,1,8.78
35,35,117,1,19.4
36,36,190,2,8.84
37,37,179,1,15.42
38,38,33,1,19.82
39,39,292,3,36.81
40,40,59,1,27.97
41,41,530,3,24.39
42,42,362,3,279.03
43,43,223,2,79.8
44,44,210,1,946.46
45,45,546,1,9.05
46,46,48,3,173.43
47,47,431,2,12.3
48,48,136,1,94.63
49,49,46,2,19.56
50,50,490,3,145.5
51,51,434,1,41.16
52,52,446,2,78.48
53,53,470,1,11.29
54,54,46,1,9.78
55,55,440,2,38.0
56,56,148,1,5.36
57,57,299,3,135.84
58,58,426,1,78.94
59,59,223,1,39.9
60,60,328,2,88.66
61,61,82,2,57.42
62,62,75,2,2.92
63,63,255,1,4.4
64,64,275,2,15.06
65,65,228,1,6.84
66,66,45,3,13.74
67,67,502,3,406.68
68,68,454,1,33.25
69,69,131,1,4.26
70,70,498,3,49.8
71,71,517,3,99.45
72,72,597,1,15.33
73,73,166,3,91.05
74,74,496,3,103.29
75,75,103,1,14.26
76,76,89,2,23.66
77,77,118,2,12.48
78,78,159,3,18.3
79,79,17,1,7.29
80,80,75,3,4.38
81,81,369,3,66.45
82,82,431,1,6.15
83,83,405,2,25.62
84,84,319,3,83.34
85,85,194,3,17.34
86,86,217,2,18.54
87,87,106,1,30.09
88,88,515,1,11.28
89,89,494,1,8.49
90,90,354,1,17.12
91,91,514,1,8.1
92,92,452,3,156.6
93,93,200,3,19.2
94,94,520,2,85.16
95,95,416,2,19.0
96,96,174,2,56.5
97,97,228,2,13.68
98,98,437,1,102.37
99,99,334,1,10.2
100,100,243,2,66.56
101,101,81,3,48.36
102,102,141,1,25.22
103,103,214,1,38.53
104,104,328,3,132.99
105,105,145,3,78.15
106,106,45,3,13.74
107,107,312,3,180.81
108,108,194,3,17.34
109,109,113,2,42.66
110,110,212,3,187.56
111,111,490,1,48.5
112,112,129,3,66.57
113,113,572,2,214.78
114,114,347,1,4.72
115,115,189,3,25.83
116,116,199,3,63.87
117,117,531,3,114.12
118,118,397,1,3.62
119,119,61,3,37.32
120,120,100,2,31.78
121,121,221,2,406.6
122,122,484,3,73.86
123,123,555,1,28.15
124,124,356,1,7.37
125,125,423,2,31.32
126,126,276,2,63.76
127,127,463,1,9.98
128,128,323,1,8.86
129,129,329,2,74.98
130,130,316,3,61.53
131,131,542,3,19.47
132,132,527,1,3.95
133,133,316,3,61.53
134,134,310,1,16.41
135,135,522,2,69.16
136,136,304,2,73.96
137,137,98,1,26.08
138,138,111,2,5.9
139,139,436,3,64.89
140,140,472,2,4.02
141,141,521,2,7.56
142,142,462,3,62.43
143,143,44,3,44.58
144,144,570,1,14.13
145,145,481,2,35.34
146,146,580,1,63.04
147,147,369,1,22.15
148,148,83,3,264.15
149,149,33,1,19.82
150,150,418,1,22.55
151,151,123,2,163.36
152,152,191,1,12.85
153,153,433,1,15.34
154,154,283,1,98.1
155,155,384,2,23.74
156,156,375,3,518.94
157,157,29,2,22.04
158,158,532,3,11.43
159,159,537,3,25.5
160,160,501,3,152.13
161,161,245,2,12.1
162,162,599,2,25.76
163,163,147,3,17.49
164,164,429,2,115.76
165,165,477,1,35.75
166,166,279,3,64.62
167,167,468,3,128.52
168,168,524,3,106.62
169,169,376,3,27.96
170,170,42,1,23.84
171,171,506,2,24.68
172,172,426,1,78.94
173,173,166,2,60.7
174,174,594,1,28.04
175,175,495,3,276.36
176,176,361,1,33.76
177,177,559,1,29.8
178,178,414,3,216.21
179,179,265,2,31.2
180,180,114,2,471.72
181,181,573,3,83.55
182,182,12,3,37.83
183,183,575,3,138.12
184,184,330,3,112.95
185,185,17,3,21.87
186,186,178,1,85.93
187,187,240,2,94.22
188,188,17,3,21.87
189,189,325,2,14.68
190,190,342,3,76.89
191,191,556,1,13.3
192,192,46,1,9.78
193,193,258,1,9.9
194,194,375,1,172.98
195,195,18,2,55.0
196,196,211,1,35.55
197,197,522,2,69.16
198,198,45,3,13.74
199,199,402,3,33.09
200,200,506,1,12.34
201,201,464,2,49.76
202,202,335,3,159.78
203,203,198,3,70.26
204,204,354,3,51.36
205,205,598,3,22.65
206,206,492,1,88.23
207,207,56,1,50.97
208,208,314,1,45.31
209,209,48,3,173.43
210,210,307,1,72.07
211,211,397,3,10.86
212,212,226,1,59.68
213,213,248,1,10.45
214,214,221,2,406.6
215,215,61,2,24.88
216,216,513,3,47.46
217,217,133,3,20.82
218,218,600,3,87.87
219,219,62,2,33.36
220,220,190,1,4.42
221,221,522,2,69.16
222,222,84,1,11.96
223,223,63,3,19.92
224,224,503,2,9.92
225,225,33,3,59.46
226,226,162,1,44.13
227,227,526,1,3.3
228,228,223,2,79.8
229,229,428,2,79.78
230,230,80,2,5.5
231,231,173,3,55.8
232,232,93,1,9.95
233,233,595,2,113.38
234,234,395,3,195.99
235,235,131,3,12.78
236,236,319,3,83.34
237,237,211,1,35.55
238,238,95,2,27.14
239,239,268,2,9.62
240,240,591,3,64.74
241,241,69,2,57.68
242,242,156,1,9.83
243,243,273,2,128.54
244,244,210,3,2839.38
245,245,225,1,12.53
246,246,329,2,74.98
247,247,356,1,7.37
248,248,348,2,9.84
249,249,449,1,12.01
250,250,519,3,66.54
251,251,61,3,37.32
252,252,484,3,73.86
253,253,145,1,26.05
254,254,18,1,27.5
255,255,575,3,138.12
256,256,394,3,376.17
257,257,249,1,117.38
258,258,89,1,11.83
259,259,179,1,15.42
260,260,78,1,14.89
261,261,33,1,19.82
262,262,314,2,90.62
263,263,34,2,13.94
264,264,518,2,15.12
265,265,513,1,15.82
266,266,396,1,12.56
267,267,186,1,41.02
268,268,331,3,59.52
269,269,562,3,480.12
270,270,320,3,52.89
271,271,367,3,75.39
272,272,132,2,43.02
273,273,229,1,9.82
274,274,465,2,35.9
275,275,211,1,35.55
276,276,191,2,25.7
277,277,256,3,37.14
278,278,439,2,7.32
279,279,147,2,11.66
280,280,217,1,9.27
281,281,117,3,58.2
282,282,580,2,126.08
283,283,39,1,5.32
284,284,397,3,10.86
285,285,43,3,53.67
286,286,151,1,25.8
287,287,491,1,19.93
288,288,497,1,7.12
289,289,287,3,51.78
290,290,283,1,98.1
291,291,205,2,10.12
292,292,57,1,8.68
293,293,577,2,50.84
294,294,22,2,32.06
295,295,392,2,65.7
296,296,109,2,51.98
297,297,323,1,8.86
298,298,31,3,33.0
299,299,339,2,60.7
300,300,580,1,63.04
301,301,245,2,12.1
302,302,355,1,19.71
303,303,405,2,25.62
304,304,555,3,84.45
305,305,595,2,113.38
306,306,162,3,132.39
307,307,210,3,2839.38
308,308,101,1,4.88
309,309,127,2,14.92
310,310,475,2,208.12
311,311,109,3,77.97
312,312,276,2,63.76
313,313,393,1,5.36
314,314,525,3,28.08
315,315,595,3,170.07
316,316,589,1,46.08
317,317,200,1,6.4
318,318,204,1,57.62
319,319,220,2,43.6
320,320,414,1,72.07
321,321,365,1,40.05
322,322,550,3,32.94
323,323,246,2,28.76
324,324,87,3,150.51
325,325,363,3,54.06
326,326,592,1,12.46
327,327,354,2,34.24
328,328,226,1,59.68
329,329,230,3,118.89
330,330,220,2,43.6
331,331,387,3,84.81
332,332,192,3,141.87
333,333,408,2,34.84
334,334,582,1,13.26
335,335,293,1,11.14
336,336,468,3,128.52
337,337,137,1,9.18
338,338,535,2,20.94
339,339,194,2,11.56
340,340,361,1,33.76
341,341,325,1,7.34
342,342,569,3,9.27
343,343,415,2,56.0
344,344,253,1,167.7
345,345,360,1,8.78
346,346,162,1,44.13
347,347,47,3,38.01
348,348,527,2,7.9
349,349,446,3,117.72
350,350,90,2,67.12
351,351,470,2,22.58
352,352,487,3,31.56
353,353,317,1,39.72
354,354,253,3,503.1
355,355,440,1,19.0
356,356,74,3,288.09
357,357,135,1,8.01
358,358,466,3,48.3
359,359,327,2,127.9
360,360,578,1,43.42
361,361,513,3,47.46
362,362,45,3,13.74
363,363,126,1,179.55
364,364,180,2,609.92
365,365,350,3,48.66
366,366,315,1,74.1
367,367,516,1,42.75
368,368,293,2,22.28
369,369,52,2,27.34
370,370,494,2,16.98
371,371,295,2,57.4
372,372,304,3,110.94
373,373,270,3,68.67
374,374,228,2,13.68
375,375,432,2,5.22
