order_id,customer_id,order_date,total_amount
1,1839,2025-09-05,590.56
2,452,2023-09-05,23.74
3,1000,2025-06-26,160.65
4,450,2023-06-21,310.34
5,559,2025-10-21,149.71
6,893,2024-02-18,159.48
7,995,2023-09-08,130.95
8,60,2025-10-19,133.77
9,797,2025-10-17,406.35
10,689,2024-05-31,104.84
11,1370,2025-03-09,16.31
12,1391,2025-03-24,501.39
13,1635,2024-03-29,585.25
14,829,2023-09-30,37.84
15,1484,2024-11-04,16.06
16,339,2025-05-08,1047.38
17,1722,2025-02-01,36.59
18,958,2023-08-13,216.29
19,1884,2023-05-18,152.4
20,262,2024-02-12,75.42
21,1275,2025-08-05,1494.43
22,1094,2023-12-05,22.19
23,56,2023-10-02,342.78
24,1858,2025-06-03,208.94
25,807,2025-07-28,57.82
26,1213,2024-04-24,524.38
27,1156,2023-08-28,21.67
28,1358,2025-08-18,36.0
29,56,2024-12-27,534.16
30,172,2024-06-21,237.39
31,1317,2023-12-03,51.35
32,878,2024-07-17,132.98
33,278,2024-12-08,293.07
34,1776,2024-01-11,8.78
35,946,2025-04-17,1439.5
36,373,2024-10-30,8.84
37,103,2025-02-28,15.42
38,533,2024-04-30,108.41
39,777,2023-07-02,85.62
40,671,2023-12-17,615.85
41,434,2025-06-15,214.17
42,932,2023-03-08,279.03
43,670,2023-12-14,79.8
44,692,2023-05-29,1180.35
45,1559,2024-06-23,75.79
46,1802,2025-03-21,173.43
47,777,2024-07-19,12.3
48,570,2022-11-22,147.7
49,1541,2023-02-28,19.56
50,1949,2023-09-06,145.5
51,1704,2023-12-17,84.62
52,864,2024-12-25,80.06
53,517,2024-10-23,11.29
54,1710,2025-03-21,9.78
55,168,2025-05-11,38.0
56,964,2024-01-21,13.49
57,40,2025-01-18,187.82
58,1535,2025-04-16,279.56
59,1105,2024-08-31,1617.6
60,107,2023-09-22,95.47
61,1950,2024-01-03,363.82
62,717,2023-02-04,143.73
63,460,2024-09-11,97.8
64,1332,2025-07-19,144.06
65,141,2024-12-16,172.22
66,1600,2025-05-29,198.12
67,1961,2023-05-03,449.7
68,1335,2024-11-26,78.63
69,83,2024-09-26,4.26
70,1545,2024-07-10,185.64
71,64,2024-03-17,117.05
72,1945,2023-05-21,5694.09
73,507,2023-06-22,249.01
74,409,2023-08-25,103.29
75,1719,2023-05-26,225.21
76,42,2024-05-31,23.66
77,1273,2023-02-09,12.48
78,313,2023-01-19,61.14
79,489,2023-03-06,34.89
80,259,2024-01-21,4.38
81,970,2023-05-02,340.55
82,1372,2025-03-18,450.77
83,235,2025-02-25,36.96
84,1156,2024-01-07,106.02
85,1942,2023-06-02,77.02
86,447,2023-04-14,61.89
87,953,2025-10-18,123.4
88,1433,2024-09-04,126.64
89,525,2023-10-01,121.95
90,1571,2023-01-18,218.26
91,756,2025-09-07,30.6
92,344,2025-04-15,204.78
93,1241,2023-02-18,271.22
94,1244,2022-12-02,636.21
95,1974,2023-05-09,89.69
96,1532,2024-04-24,149.16
97,1472,2025-07-13,144.34
98,235,2024-01-21,233.51
99,1593,2024-02-01,320.46
100,1678,2024-09-14,125.72
101,336,2023-11-25,48.36
102,1976,2023-11-10,100.71
103,638,2023-10-25,38.53
104,222,2025-07-04,584.78
105,1186,2025-06-11,455.66
106,53,2025-04-21,277.23
107,1903,2024-01-05,180.81
108,639,2025-03-24,79.36
109,1180,2024-05-19,74.72
110,1388,2023-11-19,295.87
111,1860,2023-07-10,370.43
112,1963,2022-12-22,266.97
113,769,2025-03-26,1506.74
114,813,2025-05-12,4.72
115,1929,2024-03-23,173.34
116,1465,2023-10-24,63.87
117,407,2023-08-10,147.27
118,156,2024-07-04,146.22
119,1213,2023-09-28,75.45
120,1415,2025-03-07,42.42
121,1702,2025-07-01,406.6
122,1285,2022-12-14,140.42
123,498,2023-07-24,53.47
124,209,2023-04-07,7.37
125,1428,2025-04-22,558.83
126,1583,2025-06-28,202.84
127,618,2024-01-10,9.98
128,1742,2024-12-11,15.77
129,1402,2023-05-29,283.16
130,1230,2023-04-14,61.53
131,1650,2023-12-04,167.19
132,248,2024-08-09,186.95
133,1631,2023-10-26,61.53
134,1160,2023-11-27,81.08
135,1603,2024-10-30,69.16
136,85,2025-06-20,73.96
137,712,2023-08-01,26.08
138,1092,2023-08-13,440.7
139,878,2023-10-25,89.65
140,1355,2024-01-25,106.95
141,759,2023-05-02,124.41
142,142,2022-11-21,293.85
143,1037,2023-11-22,44.58
144,1327,2025-09-24,14.13
145,699,2024-03-10,35.34
146,26,2024-09-23,387.71
147,1740,2025-05-05,172.74
148,861,2025-06-05,264.15
149,1685,2024-07-09,62.21
150,1004,2024-10-10,126.14
151,217,2023-10-14,198.01
152,888,2023-11-12,599.88
153,1968,2023-04-21,240.84
154,742,2023-03-24,249.03
155,1302,2024-08-12,23.74
156,1826,2024-10-06,518.94
157,1698,2024-10-04,63.98
158,942,2023-07-08,11.43
159,1449,2024-07-06,525.95
160,314,2025-06-29,236.55
161,892,2024-06-29,40.83
162,361,2022-12-22,25.76
163,1503,2025-03-06,17.49
164,1069,2024-01-13,668.3
165,1978,2023-10-01,126.37
166,1333,2025-09-27,1874.0
167,554,2024-12-19,308.31
168,1262,2024-09-25,145.56
169,1656,2025-02-07,417.76
170,1884,2024-05-01,23.84
171,1103,2024-03-31,24.68
172,1587,2022-12-19,429.41
173,991,2024-12-31,60.7
174,953,2025-01-13,215.44
175,893,2025-06-30,578.69
176,1692,2024-07-11,77.99
177,1498,2024-10-03,29.8
178,1214,2025-06-16,239.1
179,550,2023-10-02,31.2
180,661,2024-06-18,1167.44
181,1745,2023-06-29,474.97
182,503,2025-11-13,37.83
183,1702,2023-03-17,201.31
184,1915,2025-06-07,183.07
185,178,2025-11-06,357.27
186,572,2025-10-13,304.18
187,1806,2024-06-25,217.27
188,924,2023-08-05,211.03
189,500,2024-08-05,14.68
190,1537,2023-10-04,171.52
191,952,2023-10-21,20.85
192,1168,2024-03-19,9.78
193,1250,2024-05-18,67.56
194,1369,2024-08-07,281.57
195,777,2024-01-16,142.83
196,689,2023-12-08,796.48
197,59,2024-02-11,101.04
198,1013,2023-11-10,113.6
199,1743,2024-06-28,434.67
200,666,2025-06-06,336.49
201,373,2024-11-15,172.19
202,999,2022-12-24,437.01
203,435,2025-10-18,70.26
204,727,2025-04-10,68.96
205,1634,2023-12-01,355.39
206,530,2025-08-15,105.72
207,698,2025-11-04,67.77
208,573,2023-02-25,58.51
209,1803,2024-10-19,412.99
210,1221,2022-12-20,72.07
211,1437,2024-07-13,134.34
212,1803,2025-04-23,84.56
213,566,2024-05-06,271.39
214,1139,2024-05-28,432.19
215,21,2024-06-30,111.4
216,1059,2022-12-18,168.82
217,1942,2024-12-18,513.26
218,392,2024-09-24,138.12
219,176,2024-10-08,33.36
220,495,2024-09-05,213.76
221,1475,2023-04-04,69.16
222,833,2024-09-26,46.83
223,1001,2023-12-18,238.36
224,1138,2024-05-10,89.82
225,1553,2023-11-07,338.49
226,493,2024-01-09,129.01
227,1415,2024-06-08,42.36
228,976,2023-12-25,79.8
229,1323,2024-11-29,770.48
230,1458,2023-07-20,366.64
231,1006,2023-08-05,147.65
232,918,2023-10-23,18.32
233,1624,2025-05-14,239.56
234,36,2025-08-14,226.49
235,191,2025-01-28,491.24
236,603,2025-06-04,1933.39
237,454,2025-02-18,387.99
238,829,2023-09-17,27.14
239,1417,2023-01-12,9.62
240,499,2024-07-01,1153.18
241,628,2024-06-05,1259.49
242,1360,2023-01-30,294.39
243,1192,2023-11-07,220.58
244,756,2023-04-05,2839.38
245,970,2023-07-21,113.39
246,1134,2023-04-09,128.9
247,1088,2025-06-30,287.84
248,705,2025-11-01,9.84
249,872,2025-03-24,68.81
250,1528,2023-02-02,292.56
251,1128,2023-12-10,154.76
252,678,2023-03-20,252.64
253,721,2025-02-09,41.39
254,1440,2023-12-18,34.71
255,930,2024-10-20,138.12
256,555,2023-07-06,448.44
257,628,2024-02-15,151.46
258,515,2023-06-25,113.51
