payment_id,order_id,payment_method,amount,payment_date
1,1,paypal,590.56,2025-09-10
2,2,bank,23.74,2023-09-08
3,3,card,160.65,2025-06-26
4,4,bank,310.34,2023-06-25
5,5,card,149.71,2025-10-26
6,6,card,159.48,2024-02-18
7,7,card,130.95,2023-09-10
8,8,paypal,133.77,2025-10-23
9,9,card,406.35,2025-10-19
10,10,card,104.84,2024-05-31
11,11,bank,16.31,2025-03-13
12,12,card,501.39,2025-03-26
13,13,bank,585.25,2024-03-31
14,14,paypal,37.84,2023-10-04
15,15,bank,16.06,2024-11-05
16,16,card,1047.38,2025-05-08
17,17,bank,36.59,2025-02-08
18,18,card,216.29,2023-08-15
19,19,paypal,152.4,2023-05-20
20,20,paypal,75.42,2024-02-12
21,21,paypal,1494.43,2025-08-05
22,22,paypal,22.19,2023-12-11
23,23,bank,342.78,2023-10-09
24,24,paypal,208.94,2025-06-04
25,25,paypal,57.82,2025-08-04
26,26,paypal,524.38,2024-04-28
27,27,bank,21.67,2023-08-29
28,28,paypal,36.0,2025-08-20
29,29,paypal,534.16,2024-12-27
30,30,bank,237.39,2024-06-26
31,31,bank,51.35,2023-12-06
32,32,card,132.98,2024-07-24
33,33,bank,293.07,2024-12-15
34,34,paypal,8.78,2024-01-13
35,35,card,1439.5,2025-04-18
36,36,paypal,8.84,2024-11-01
37,37,bank,15.42,2025-02-28
38,38,paypal,108.41,2024-05-05
39,39,bank,85.62,2023-07-08
40,40,bank,615.85,2023-12-21
41,41,bank,214.17,2025-06-19
42,42,card,279.03,2023-03-10
43,43,card,79.8,2023-12-21
44,44,paypal,1180.35,2023-06-01
45,45,card,75.79,2024-06-24
46,46,card,173.43,2025-03-22
47,47,card,12.3,2024-07-20
48,48,card,147.7,2022-11-22
49,49,bank,19.56,2023-03-07
50,50,card,145.5,2023-09-06
51,51,bank,84.62,2023-12-22
52,52,bank,80.06,2024-12-31
53,53,bank,11.29,2024-10-23
54,54,paypal,9.78,2025-03-22
55,55,paypal,38.0,2025-05-11
56,56,bank,13.49,2024-01-25
57,57,bank,187.82,2025-01-18
58,58,bank,279.56,2025-04-19
59,59,paypal,1617.6,2024-09-02
60,60,bank,95.47,2023-09-23
61,61,bank,363.82,2024-01-07
62,62,card,143.73,2023-02-09
63,63,bank,97.8,2024-09-16
64,64,paypal,144.06,2025-07-20
65,65,card,172.22,2024-12-17
66,66,card,198.12,2025-05-31
67,67,paypal,449.7,2023-05-10
68,68,card,78.63,2024-11-30
69,69,bank,4.26,2024-09-29
70,70,card,185.64,2024-07-17
71,71,card,117.05,2024-03-19
72,72,paypal,5694.09,2023-05-26
73,73,card,249.01,2023-06-24
74,74,paypal,103.29,2023-08-26
75,75,paypal,225.21,2023-05-28
76,76,bank,23.66,2024-06-05
77,77,bank,12.48,2023-02-13
78,78,card,61.14,2023-01-25
79,79,bank,34.89,2023-03-09
80,80,bank,4.38,2024-01-21
81,81,card,340.55,2023-05-05
82,82,paypal,450.77,2025-03-22
83,83,paypal,36.96,2025-03-01
84,84,paypal,106.02,2024-01-07
85,85,bank,77.02,2023-06-09
86,86,card,61.89,2023-04-19
87,87,paypal,123.4,2025-10-22
88,88,card,126.64,2024-09-04
89,89,paypal,121.95,2023-10-01
90,90,bank,218.26,2023-01-24
91,91,card,30.6,2025-09-12
92,92,card,204.78,2025-04-20
93,93,paypal,271.22,2023-02-25
94,94,bank,636.21,2022-12-06
95,95,paypal,89.69,2023-05-11
96,96,bank,149.16,2024-04-30
97,97,card,144.34,2025-07-16
98,98,paypal,233.51,2024-01-26
99,99,paypal,320.46,2024-02-04
100,100,paypal,125.72,2024-09-16
101,101,paypal,48.36,2023-12-02
102,102,card,100.71,2023-11-15
103,103,paypal,38.53,2023-10-27
104,104,card,584.78,2025-07-06
105,105,card,455.66,2025-06-17
106,106,paypal,277.23,2025-04-27
107,107,card,180.81,2024-01-06
108,108,card,79.36,2025-03-26
109,109,bank,74.72,2024-05-24
110,110,card,295.87,2023-11-21
111,111,card,370.43,2023-07-14
112,112,paypal,266.97,2022-12-23
113,113,card,1506.74,2025-04-01
114,114,card,4.72,2025-05-12
115,115,paypal,173.34,2024-03-28
116,116,card,63.87,2023-10-30
117,117,card,147.27,2023-08-16
118,118,bank,146.22,2024-07-11
119,119,bank,75.45,2023-09-30
120,120,card,42.42,2025-03-13
121,121,bank,406.6,2025-07-05
122,122,card,140.42,2022-12-16
123,123,paypal,53.47,2023-07-30
124,124,paypal,7.37,2023-04-08
125,125,bank,558.83,2025-04-26
126,126,bank,202.84,2025-06-28
127,127,card,9.98,2024-01-15
128,128,card,15.77,2024-12-14
129,129,card,283.16,2023-05-30
130,130,card,61.53,2023-04-14
131,131,bank,167.19,2023-12-08
132,132,bank,186.95,2024-08-12
133,133,card,61.53,2023-10-28
134,134,card,81.08,2023-11-28
135,135,card,69.16,2024-11-01
136,136,card,73.96,2025-06-22
137,137,bank,26.08,2023-08-06
138,138,bank,440.7,2023-08-17
139,139,bank,89.65,2023-10-26
140,140,bank,106.95,2024-01-30
141,141,paypal,124.41,2023-05-04
142,142,bank,293.85,2022-11-27
143,143,paypal,44.58,2023-11-29
144,144,card,14.13,2025-09-28
145,145,bank,35.34,2024-03-11
146,146,bank,387.71,2024-09-24
147,147,paypal,172.74,2025-05-10
148,148,paypal,264.15,2025-06-05
149,149,paypal,62.21,2024-07-13
150,150,bank,126.14,2024-10-12
151,151,card,198.01,2023-10-14
152,152,card,599.88,2023-11-18
153,153,paypal,240.84,2023-04-28
154,154,card,249.03,2023-03-31
155,155,bank,23.74,2024-08-17
156,156,bank,518.94,2024-10-11
157,157,bank,63.98,2024-10-10
158,158,paypal,11.43,2023-07-14
159,159,bank,525.95,2024-07-12
160,160,bank,236.55,2025-07-03
161,161,bank,40.83,2024-06-30
162,162,bank,25.76,2022-12-28
163,163,card,17.49,2025-03-08
164,164,bank,668.3,2024-01-17
165,165,card,126.37,2023-10-03
166,166,bank,1874.0,2025-09-29
167,167,card,308.31,2024-12-25
168,168,card,145.56,2024-09-27
169,169,card,417.76,2025-02-10
170,170,paypal,23.84,2024-05-01
171,171,card,24.68,2024-04-01
172,172,card,429.41,2022-12-23
173,173,bank,60.7,2025-01-04
174,174,card,215.44,2025-01-16
175,175,bank,578.69,2025-07-04
176,176,bank,77.99,2024-07-18
177,177,card,29.8,2024-10-04
178,178,bank,239.1,2025-06-23
179,179,card,31.2,2023-10-09
180,180,bank,1167.44,2024-06-24
181,181,bank,474.97,2023-07-03
182,182,bank,37.83,2025-11-14
183,183,bank,201.31,2023-03-19
184,184,card,183.07,2025-06-10
185,185,card,357.27,2025-11-06
186,186,paypal,304.18,2025-10-16
187,187,paypal,217.27,2024-07-01
188,188,bank,211.03,2023-08-05
189,189,bank,14.68,2024-08-07
190,190,card,171.52,2023-10-04
191,191,paypal,20.85,2023-10-21
192,192,bank,9.78,2024-03-22
193,193,bank,67.56,2024-05-20
194,194,card,281.57,2024-08-12
195,195,card,142.83,2024-01-22
196,196,card,796.48,2023-12-09
197,197,bank,101.04,2024-02-16
198,198,paypal,113.6,2023-11-10
199,199,paypal,434.67,2024-06-30
200,200,bank,336.49,2025-06-09
201,201,bank,172.19,2024-11-18
202,202,paypal,437.01,2022-12-24
203,203,paypal,70.26,2025-10-20
204,204,bank,68.96,2025-04-12
205,205,card,355.39,2023-12-01
206,206,paypal,105.72,2025-08-22
207,207,card,67.77,2025-11-10
208,208,paypal,58.51,2023-03-04
209,209,card,412.99,2024-10-22
210,210,bank,72.07,2022-12-22
211,211,bank,134.34,2024-07-16
212,212,bank,84.56,2025-04-29
213,213,card,271.39,2024-05-09
214,214,paypal,432.19,2024-06-04
215,215,bank,111.4,2024-07-01
216,216,bank,168.82,2022-12-23
217,217,bank,513.26,2024-12-19
218,218,card,138.12,2024-09-30
219,219,paypal,33.36,2024-10-14
220,220,card,213.76,2024-09-06
221,221,bank,69.16,2023-04-10
222,222,card,46.83,2024-09-30
223,223,card,238.36,2023-12-18
224,224,card,89.82,2024-05-13
225,225,card,338.49,2023-11-09
226,226,bank,129.01,2024-01-12
227,227,card,42.36,2024-06-10
228,228,paypal,79.8,2023-12-28
229,229,paypal,770.48,2024-12-01
230,230,bank,366.64,2023-07-21
231,231,paypal,147.65,2023-08-12
232,232,paypal,18.32,2023-10-23
233,233,paypal,239.56,2025-05-21
234,234,card,226.49,2025-08-20
235,235,paypal,491.24,2025-01-28
236,236,bank,1933.39,2025-06-09
237,237,card,387.99,2025-02-20
238,238,bank,27.14,2023-09-18
239,239,card,9.62,2023-01-16
240,240,bank,1153.18,2024-07-02
241,241,paypal,1259.49,2024-06-07
242,242,paypal,294.39,2023-02-06
243,243,paypal,220.58,2023-11-08
244,244,paypal,2839.38,2023-04-06
245,245,bank,113.39,2023-07-27
246,246,bank,128.9,2023-04-12
247,247,paypal,287.84,2025-07-04
248,248,card,9.84,2025-11-08
249,249,bank,68.81,2025-03-24
250,250,bank,292.56,2023-02-04
251,251,paypal,154.76,2023-12-16
252,252,bank,252.64,2023-03-25
253,253,bank,41.39,2025-02-15
254,254,card,34.71,2023-12-24
255,255,bank,138.12,2024-10-25
256,256,card,448.44,2023-07-07
257,257,paypal,151.46,2024-02-20
258,258,paypal,113.51,2023-06-28
259,259,paypal,15.42,2024-09-26
260,260,card,242.55,2024-01-28
261,261,bank,151.29,2023-09-05
262,262,bank,221.1,2023-11-13
263,263,paypal,28.41,2024-08-14
264,264,card,105.39,2024-03-19
265,265,paypal,69.34,2023-08-02
266,266,bank,161.98,2025-02-06
267,267,card,52.45,2023-03-07
268,268,paypal,315.81,2023-11-18
269,269,card,883.61,2023-04-13
270,270,bank,52.89,2025-07-15
271,271,paypal,75.39,2023-02-12
272,272,bank,131.83,2025-04-24
273,273,bank,27.04,2025-08-29
274,274,paypal,349.76,2023-08-24
275,275,paypal,790.77,2024-02-14
276,276,bank,184.15,2025-03-22
277,277,paypal,78.15,2024-11-20
278,278,card,7.32,2024-09-08
279,279,bank,31.98,2023-08-07
280,280,card,19.32,2023-11-22
281,281,paypal,82.08,2022-12-19
282,282,paypal,126.08,2023-09-19
283,283,bank,5.32,2025-06-17
284,284,card,48.35,2023-03-21
285,285,bank,75.91,2023-03-07
286,286,paypal,151.89,2023-04-24
287,287,bank,485.11,2024-01-12
288,288,paypal,7.12,2023-08-21
289,289,paypal,110.48,2025-02-27
290,290,bank,137.54,2023-05-28
291,291,bank,10.12,2024-11-06
292,292,card,74.0,2025-03-31
293,293,card,150.67,2024-06-17
294,294,card,92.76,2023-08-22
295,295,paypal,152.73,2023-07-14
296,296,paypal,97.2,2025-02-25
297,297,paypal,60.64,2023-09-03
298,298,paypal,192.61,2023-12-09
299,299,card,395.44,2022-11-30
300,300,paypal,219.79,2024-04-07
301,301,paypal,218.02,2023-08-14
302,302,card,106.55,2024-01-15
303,303,bank,108.48,2025-01-22
304,304,bank,884.8,2022-12-22
305,305,paypal,476.07,2025-01-03
306,306,paypal,484.59,2025-01-15
307,307,bank,2839.38,2023-02-16
308,308,paypal,114.55,2024-07-27
309,309,bank,14.92,2023-06-15
310,310,paypal,208.12,2023-08-08
311,311,card,77.97,2023-02-03
312,312,paypal,63.76,2024-11-16
313,313,card,36.78,2023-07-22
314,314,card,104.34,2023-06-10
315,315,card,284.94,2023-11-30
316,316,bank,57.64,2025-06-25
317,317,bank,6.4,2024-06-15
318,318,card,117.44,2025-05-02
319,319,bank,111.84,2024-01-29
320,320,card,124.8,2024-11-07
321,321,paypal,518.97,2023-12-08
322,322,card,143.89,2024-10-27
323,323,bank,187.97,2023-08-20
324,324,paypal,285.79,2023-05-09
325,325,paypal,54.06,2023-12-11
326,326,bank,77.17,2023-08-02
327,327,bank,46.34,2025-08-07
328,328,bank,781.48,2025-06-22
329,329,bank,520.19,2023-01-21
330,330,bank,93.0,2023-03-02
331,331,card,84.81,2024-07-02
332,332,bank,141.87,2023-06-22
333,333,card,257.53,2022-11-17
334,334,bank,13.26,2024-02-07
335,335,paypal,11.14,2024-11-04
336,336,bank,353.52,2025-02-20
337,337,card,9.18,2024-12-18
338,338,paypal,125.18,2025-10-07
339,339,paypal,114.84,2024-07-26
340,340,card,36.71,2025-03-24
341,341,paypal,80.72,2025-03-07
342,342,paypal,9.27,2024-08-12
343,343,paypal,391.7,2025-02-14
344,344,paypal,182.43,2024-11-16
345,345,paypal,490.87,2025-08-20
346,346,paypal,571.93,2025-02-01
347,347,card,436.47,2024-05-21
348,348,paypal,75.06,2025-06-15
349,349,bank,468.08,2025-05-07
350,350,paypal,137.3,2024-08-13
351,351,paypal,287.48,2023-12-14
352,352,card,41.61,2025-02-13
353,353,card,478.87,2024-08-13
354,354,bank,564.78,2023-08-04
355,355,paypal,384.76,2025-01-06
356,356,card,562.41,2025-01-04
357,357,paypal,39.03,2023-06-05
358,358,paypal,362.24,2023-01-12
359,359,paypal,386.83,2023-10-11
360,360,paypal,43.42,2023-03-18
361,361,bank,253.26,2025-06-09
362,362,bank,13.74,2024-06-13
363,363,paypal,605.84,2024-02-28
364,364,bank,644.0,2023-05-18
365,365,paypal,163.56,2025-06-18
366,366,card,154.83,2024-08-20
367,367,bank,42.75,2024-07-06
368,368,paypal,217.37,2024-06-26
369,369,paypal,586.86,2024-02-25
370,370,card,217.18,2024-06-20
371,371,paypal,205.09,2022-12-28
372,372,card,231.55,2024-03-24
373,373,card,170.59,2024-12-13
374,374,card,13.68,2023-09-21
375,375,paypal,528.44,2022-12-14
376,376,bank,11.84,2023-10-19
377,377,card,217.63,2024-09-25
378,378,bank,30.8,2025-08-05
379,379,card,109.75,2023-07-10
380,380,bank,20.3,2024-10-17
381,381,paypal,165.81,2025-05-29
382,382,paypal,726.71,2023-06-24
383,383,bank,110.82,2025-08-25
384,384,bank,412.81,2024-03-03
385,385,bank,122.53,2024-07-29
386,386,bank,13.36,2023-12-06
387,387,bank,117.06,2023-07-01
388,388,card,90.1,2022-12-17
389,389,bank,178.69,2023-11-06
390,390,card,27.34,2024-10-03
391,391,card,28.79,2023-12-19
392,392,card,416.04,2024-12-17
393,393,card,42.1,2024-08-04
394,394,paypal,142.22,2024-11-15
395,395,bank,250.83,2024-11-13
396,396,paypal,527.55,2024-06-17
397,397,card,110.29,2023-10-01
398,398,card,249.41,2024-11-10
399,399,paypal,166.36,2023-06-07
400,400,bank,31.31,2024-08-27
401,401,paypal,19.4,2023-02-05
402,402,paypal,155.94,2023-12-10
403,403,paypal,228.17,2023-07-05
404,404,card,65.73,2025-08-14
405,405,bank,74.04,2023-04-28
406,406,paypal,154.35,2024-02-21
407,407,paypal,109.6,2024-06-22
408,408,bank,554.35,2023-02-14
409,409,card,61.02,2024-05-18
410,410,card,290.9,2024-11-15
411,411,bank,102.37,2024-07-14
412,412,bank,969.47,2025-09-01
413,413,card,95.27,2024-09-27
414,414,paypal,168.8,2023-03-22
415,415,card,22.24,2025-06-06
416,416,card,274.08,2024-02-21
417,417,bank,481.08,2024-05-28
418,418,card,127.23,2025-01-21
419,419,card,56.36,2025-03-25
420,420,paypal,16.26,2024-11-30
421,421,card,24.16,2023-01-19
422,422,card,346.31,2024-12-03
423,423,paypal,27.92,2023-03-04
424,424,bank,32.78,2024-05-17
425,425,bank,624.72,2024-04-21
426,426,bank,33.87,2023-09-15
427,427,paypal,488.34,2024-03-14
428,428,paypal,704.6,2025-01-14
429,429,card,115.31,2023-08-08
430,430,paypal,117.3,2022-12-04
431,431,card,12.14,2023-04-29
432,432,bank,171.39,2023-07-06
433,433,paypal,94.83,2025-04-08
434,434,card,24.75,2024-01-11
435,435,bank,24.16,2023-02-25
436,436,paypal,268.95,2022-12-29
437,437,bank,305.04,2025-01-21
438,438,paypal,16.19,2023-10-25
439,439,paypal,63.17,2025-07-26
440,440,card,79.88,2025-02-03
441,441,paypal,123.71,2024-06-16
442,442,bank,132.53,2022-12-30
443,443,card,123.68,2024-10-20
444,444,paypal,404.25,2024-08-08
445,445,paypal,1266.46,2024-04-24
446,446,bank,295.51,2025-06-27
447,447,paypal,34.68,2024-11-08
448,448,card,281.74,2024-05-14
449,449,bank,5.05,2025-07-15
450,450,paypal,119.67,2024-04-08
451,451,card,82.63,2024-02-05
452,452,card,143.19,2024-06-16
453,453,paypal,386.46,2023-02-08
454,454,paypal,85.99,2025-02-03
455,455,card,149.67,2025-05-19
456,456,bank,94.19,2023-05-27
457,457,card,153.64,2024-09-28
458,458,bank,108.54,2024-12-13
459,459,paypal,265.36,2024-09-25
460,460,bank,10.21,2025-01-26
461,461,bank,762.41,2023-01-12
462,462,bank,54.24,2025-09-20
463,463,card,100.42,2025-03-22
464,464,bank,239.15,2025-04-15
465,465,bank,17.76,2025-01-11
466,466,bank,266.54,2023-03-07
467,467,paypal,26.84,2023-07-17
468,468,bank,34.68,2024-06-28
469,469,paypal,393.39,2024-04-16
470,470,bank,22.56,2025-09-12
471,471,bank,12.94,2024-10-04
472,472,bank,193.08,2025-08-06
473,473,paypal,188.53,2024-01-10
474,474,bank,434.54,2023-06-30
475,475,paypal,473.89,2023-06-30
476,476,bank,67.25,2023-09-22
477,477,bank,20.1,2023-04-15
478,478,bank,376.84,2025-07-04
479,479,bank,94.22,2024-07-06
480,480,card,58.32,2024-01-19
481,481,card,46.26,2024-07-23
482,482,bank,482.33,2023-11-01
483,483,bank,1323.57,2023-01-28
484,484,card,416.61,2023-01-25
485,485,bank,70.97,2024-03-05
486,486,bank,68.64,2022-12-08
487,487,card,71.25,2023-06-18
488,488,card,191.07,2023-09-22
489,489,bank,128.54,2024-09-01
490,490,paypal,12.06,2025-04-23
491,491,card,28.42,2023-09-18
492,492,card,137.11,2024-08-30
493,493,paypal,134.54,2023-07-16
494,494,bank,62.14,2024-09-12
495,495,bank,27.52,2025-03-21
496,496,card,42.06,2025-04-18
497,497,bank,99.02,2023-12-20
498,498,bank,1636.32,2023-10-13
499,499,card,39.46,2022-11-17
500,500,paypal,124.24,2023-03-04
501,501,card,117.55,2023-07-29
502,502,bank,40.88,2023-01-17
503,503,bank,510.29,2024-01-10
504,504,paypal,73.56,2024-12-06
505,505,bank,491.49,2023-03-04
506,506,card,132.54,2023-10-23
507,507,card,733.26,2024-11-15
508,508,paypal,334.84,2023-08-08
509,509,paypal,13.68,2025-09-26
510,510,card,324.94,2024-12-27
511,511,paypal,182.38,2023-05-19
512,512,card,123.06,2023-03-24
513,513,card,102.57,2025-09-26
514,514,bank,40.7,2024-11-04
515,515,bank,185.39,2024-05-02
516,516,bank,96.24,2025-07-09
517,517,bank,432.64,2024-06-17
518,518,card,220.1,2024-11-19
