product_id,name,category,price
1,Present Laugh,Clothing,33.01
2,Population Campaign,Electronics,17.49
3,Place Carry,Sports,38.39
4,Next Father,Books,92.11
5,Growth Share,Books,15.89
6,Hour Surface,Home & Garden,15.89
7,Risk Treat,Clothing,97.44
8,Career Hope,Jewelry,43.27
9,Other Material,Clothing,12.56
10,At Affect,Health,34.56
11,Likely Hope,Toys,12.64
12,Key Employee,Electronics,12.61
13,Determine You,Electronics,25.58
14,General Rise,Clothing,2.96
15,East Where,Books,3.58
16,Try Weight,Books,11.45
17,Form Protect,Jewelry,7.29
18,Whole Week,Health,27.5
19,Maybe Stop,Electronics,8.1
20,Fast One,Jewelry,4.89
21,Grow Participant,Books,86.98
22,Student Glass,Jewelry,16.03
23,Say Day,Toys,21.49
24,Week Care,Books,4.83
25,Fund Station,Automotive,11.65
26,Project Page,Health,22.44
27,Which Drop,Sports,6.35
28,Section Personal,Electronics,29.24
29,Poor Economic,Home & Garden,11.02
30,Tax Ten,Toys,15.0
31,Enjoy Middle,Beauty,11.0
32,Order Many,Sports,128.03
33,Voice After,Home & Garden,19.82
34,Form Much,Books,6.97
35,Up Beyond,Beauty,45.72
36,If Social,Clothing,5.92
37,Choose Price,Clothing,24.75
38,Fund Beat,Toys,2.83
39,Newspaper Military,Clothing,5.32
40,Maintain Player,Beauty,24.46
41,Wear Vote,Beauty,42.03
42,Your Should,Health,23.84
43,Exactly Audience,Sports,17.89
44,Listen Improve,Electronics,14.86
45,Star Data,Automotive,4.58
46,Strong Speech,Jewelry,9.78
47,Fact Seek,Clothing,12.67
48,Character Himself,Toys,57.81
49,Thus Star,Clothing,28.32
50,Artist Matter,Jewelry,3.45
51,Employee Dog,Sports,27.77
52,Property About,Health,13.67
53,Generation Heart,Beauty,10.21
54,Thank Pressure,Health,37.03
55,Meeting Or,Books,56.32
56,Child Step,Clothing,50.97
57,Explain Front,Electronics,8.68
58,Memory Former,Books,14.74
59,Point Use,Sports,27.97
60,Not Decision,Clothing,53.28
61,Than Talk,Books,12.44
62,Race Cup,Clothing,16.68
63,Wind Picture,Toys,6.64
64,Point Camera,Sports,6.07
65,Find Similar,Automotive,45.26
66,Ask Simply,Beauty,77.96
67,Value Day,Home & Garden,18.69
68,Need Successful,Beauty,54.79
69,Mother Fear,Beauty,28.84
70,Energy Street,Books,10.54
71,However Land,Sports,28.83
72,School Tell,Clothing,93.51
73,Tonight Activity,Health,19.38
74,Fire Every,Home & Garden,96.03
75,Democratic Charge,Jewelry,1.46
76,Fine Ago,Books,45.69
77,Air Reach,Home & Garden,21.91
78,Quickly Sound,Automotive,14.89
79,Know Bar,Toys,22.02
80,Home Make,Sports,2.75
81,Stand Where,Jewelry,16.12
82,Choose Likely,Books,28.71
83,Process Idea,Beauty,88.05
84,One Close,Electronics,11.96
85,Phone Life,Books,8.95
86,Son Former,Electronics,12.16
87,Box Write,Beauty,50.17
88,Eye Lose,Toys,27.9
89,Fact Decade,Sports,11.83
90,Seat Policy,Clothing,33.56
91,Long Feel,Books,22.13
92,Commercial Peace,Health,52.91
93,Career Future,Beauty,9.95
94,Adult Candidate,Books,14.47
95,Area Trip,Automotive,13.57
96,General Old,Toys,4.65
